scope,class,direction,horizon_weeks,total_count,available_count,signal_count,signal_available_count,success_count,failure_count,hit_rate,precision,recall,f1,average_forward_return,average_forward_excess_return,average_post_entry_drawdown,average_drawdown_avoided,unavailable_count,missing_label_rate,signal_unavailable_count,signal_missing_rate,actual_outcome_count,true_positive,false_positive,false_negative,true_negative
overall,all,positive,4,4968,4920,1679,1663,617,1046,0.3710162357185809,0.3710162357185809,0.3572669368847713,0.3640117994100295,0.008443657855054638,-0.0026033549369058272,-0.03334545120702675,0.0,48,0.00966183574879227,16,0.009529481834425254,1727,617,1046,1110,2147
overall,all,negative,4,4968,4920,4497,4452,2957,1495,0.6641958670260557,0.6641958670260557,0.903452490070272,0.7655663430420712,0.008404762503466326,-0.0033126598119221484,-0.03200788062070098,0.03200788062070098,48,0.00966183574879227,45,0.01000667111407605,3273,2957,1495,316,152
overall,all,positive,13,4968,4800,1679,1622,591,1031,0.3643649815043157,0.3643649815043157,0.3562386980108499,0.3602560195062481,0.025489909517914355,-0.007147040015545619,-0.062125385190175936,0.0,168,0.033816425120772944,57,0.033948779035139966,1659,591,1031,1068,2110
overall,all,negative,13,4968,4800,4497,4343,3209,1134,0.7388901680865761,0.7388901680865761,0.906497175141243,0.8141570468095902,0.0248605962798694,-0.009056678748124969,-0.060292457558246436,0.060292457558246436,168,0.033816425120772944,154,0.03424505225706026,3540,3209,1134,331,126
overall,all,positive,26,4968,4644,1679,1570,594,976,0.378343949044586,0.378343949044586,0.3726474278544542,0.3754740834386852,0.05515100095818358,-0.012427897248549593,-0.08755762661710748,0.0,324,0.06521739130434782,109,0.06491959499702203,1594,594,976,1000,2074
overall,all,negative,26,4968,4644,4497,4199,3344,855,0.7963800904977375,0.7963800904977375,0.9047619047619048,0.8471184293856872,0.049570142520661074,-0.020407660986014254,-0.08441869803963514,0.08441869803963514,324,0.06521739130434782,298,0.06626639982210362,3696,3344,855,352,93
overall,all,positive,52,4968,4344,1679,1470,532,938,0.3619047619047619,0.3619047619047619,0.36867636867636866,0.3652591829728802,0.11822642012956414,-0.025787037536415553,-0.12070185374757207,0.0,624,0.12560386473429952,209,0.12447885646217986,1443,532,938,911,1963
overall,all,negative,52,4968,4344,4497,3926,3310,616,0.8430973000509424,0.8430973000509424,0.9009254218835057,0.8710526315789474,0.10321053545446218,-0.044631326592697876,-0.11763687424292861,0.11763687424292861,624,0.12560386473429952,571,0.126973537914165,3674,3310,616,364,54
class,Other,positive,4,414,410,3,3,0,3,0.0,0.0,0.0,0.0,0.011034418911715305,-0.052587482225318206,-0.002422774076317339,0.0,4,0.00966183574879227,0,0.0,60,0,3,60,347
class,Other,negative,4,414,410,406,402,343,59,0.8532338308457711,0.8532338308457711,0.98,0.9122340425531915,-0.0008010426054965285,-0.011307586258224952,-0.010245563553840967,0.010245563553840967,4,0.00966183574879227,4,0.009852216748768473,350,343,59,7,1
class,Other,positive,13,414,400,3,3,0,3,0.0,0.0,0.0,0.0,0.013300234878192096,-0.08545398174257812,-0.005056533546014319,0.0,14,0.033816425120772944,0,0.0,55,0,3,55,342
class,Other,negative,13,414,400,406,392,348,44,0.8877551020408163,0.8877551020408163,0.9775280898876404,0.93048128342246,-0.0022270553791442905,-0.03336190296657987,-0.0217682173121504,0.0217682173121504,14,0.033816425120772944,14,0.034482758620689655,356,348,44,8,0
class,Other,positive,26,414,387,3,3,0,3,0.0,0.0,0.0,0.0,0.029931458066441225,-0.14434369712033787,-0.005056533546014319,0.0,27,0.06521739130434782,0,0.0,53,0,3,53,331
class,Other,negative,26,414,387,406,379,347,32,0.9155672823218998,0.9155672823218998,0.9774647887323944,0.9455040871934605,-0.003811381649143888,-0.06983093728354936,-0.03409476150968848,0.03409476150968848,27,0.06521739130434782,27,0.0665024630541872,355,347,32,8,0
class,Other,positive,52,414,362,3,3,1,2,0.3333333333333333,0.3333333333333333,0.03125,0.05714285714285714,0.04766780850662863,-0.21687419770828,-0.024163979372825328,0.0,52,0.12560386473429952,0,0.0,32,1,2,31,328
class,Other,negative,52,414,362,406,354,323,31,0.9124293785310734,0.9124293785310734,0.9787878787878788,0.9444444444444444,-0.009100599829795355,-0.15021890238814875,-0.05495256619590096,0.05495256619590096,52,0.12560386473429952,52,0.12807881773399016,330,323,31,7,1
class,US Sectors,positive,4,4554,4510,1676,1660,617,1043,0.3716867469879518,0.3716867469879518,0.370125974805039,0.37090471896603544,0.008438975756759469,-0.002513022176746046,-0.03340133556328707,0.0,44,0.00966183574879227,16,0.00954653937947494,1667,617,1043,1050,1800
class,US Sectors,negative,4,4554,4510,4091,4050,2614,1436,0.6454320987654321,0.6454320987654321,0.8942866917550462,0.7497490319804962,0.009318523899467081,-0.0025190893350298706,-0.03416799209252264,0.03416799209252264,44,0.00966183574879227,41,0.010021999511121975,2923,2614,1436,309,151
class,US Sectors,positive,13,4554,4400,1676,1619,591,1028,0.3650401482396541,0.3650401482396541,0.36845386533665836,0.36673906298479675,0.025512496932317795,-0.007001937591097751,-0.06223113352552645,0.0,154,0.033816425120772944,57,0.03400954653937947,1604,591,1028,1013,1768
class,US Sectors,negative,13,4554,4400,4091,3951,2861,1090,0.724120475828904,0.724120475828904,0.8985552763819096,0.8019621583742116,0.02754810816302136,-0.006645226484486819,-0.06411465502128609,0.06411465502128609,154,0.033816425120772944,140,0.03422146174529455,3184,2861,1090,323,126
class,US Sectors,positive,26,4554,4257,1676,1567,594,973,0.37906828334396936,0.37906828334396936,0.3854639844256976,0.38223938223938225,0.05519928342702545,-0.012175346259643807,-0.08771557382783707,0.0,297,0.06521739130434782,109,0.06503579952267304,1541,594,973,947,1743
class,US Sectors,negative,26,4554,4257,4091,3820,2997,823,0.7845549738219896,0.7845549738219896,0.8970368153247531,0.8370339338081274,0.054866372274681,-0.015504147447593883,-0.08941157027650683,0.08941157027650683,297,0.06521739130434782,271,0.06624297237839159,3341,2997,823,344,93
class,US Sectors,positive,52,4554,3982,1676,1467,531,936,0.3619631901840491,0.3619631901840491,0.37632884479092843,0.3690062543432939,0.11837071176887483,-0.02539626624772053,-0.1208992727135736,0.0,572,0.12560386473429952,209,0.1247016706443914,1411,531,936,880,1635
class,US Sectors,negative,52,4554,3982,4091,3572,2987,585,0.8362262038073908,0.8362262038073908,0.8932416267942583,0.8637941006362059,0.11434103430402184,-0.034167160346452174,-0.12384914889260602,0.12384914889260602,572,0.12560386473429952,519,0.12686384747005622,3344,2987,585,357,53
